EmployeeID,HireDate,Department,JobTitle,Country,WorkStyle,AnnualSalary,PerformanceRating,IsManager
EMP-2041,2020-02-25,Finance,Financial Analyst,Germany,On-site,58000,2.5,No
EMP-2042,2021-05-14,Sales,Sales Manager,United States,Hybrid,78000,4.6,Yes
EMP-2043,2022-08-28,Sales,Sales Manager,Canada,On-site,145000,3.1,Yes
EMP-2044,2022-12-20,Customer Support,Support Agent,India,On-site,58000,4.8,No
EMP-2045,2020-09-13,Finance,Accountant,Germany,On-site,145000,2.8,No
EMP-2046,2020-09-05,Engineering,Senior Engineer,United Kingdom,Remote,71000,4.0,No
EMP-2047,2024-05-30,Customer Support,Support Agent,United States,On-site,145000,2.7,No
EMP-2048,2020-02-05,Engineering,Software Engineer,Germany,Hybrid,78000,3.2,No
EMP-2049,2024-09-01,Finance,Financial Analyst,Germany,On-site,62000,3.6,No
EMP-2050,2024-05-12,Sales,SDR,Germany,Remote,85000,3.6,No
EMP-2051,2021-04-09,HR,Recruiter,India,Remote,145000,4.7,No
EMP-2052,2019-10-25,Customer Support,Support Agent,United Kingdom,Hybrid,110000,3.6,No
EMP-2053,2020-09-24,Engineering,Software Engineer,Canada,Remote,85000,4.5,No
EMP-2054,2020-01-21,Marketing,Marketing Specialist,India,Hybrid,125000,3.0,No
EMP-2055,2023-11-03,Sales,SDR,Germany,Hybrid,78000,2.9,No
EMP-2056,2020-01-13,Marketing,Content Manager,Canada,Remote,78000,3.4,Yes
EMP-2057,2023-04-24,Marketing,Content Manager,Canada,On-site,125000,4.3,Yes
EMP-2058,2020-04-07,Finance,Accountant,United Kingdom,Remote,145000,4.9,No
EMP-2059,2021-01-13,Engineering,Senior Engineer,Canada,Remote,85000,2.6,No
EMP-2060,2024-07-18,Customer Support,Support Lead,Canada,Remote,110000,2.9,Yes
EMP-2061,2019-10-24,Marketing,Marketing Specialist,Canada,Remote,71000,3.6,No
EMP-2062,2021-06-29,HR,HR Generalist,United States,Hybrid,85000,2.7,No
EMP-2063,2023-09-08,Engineering,Senior Engineer,Canada,On-site,58000,3.3,No
EMP-2064,2020-03-24,Sales,Account Executive,United Kingdom,Hybrid,145000,4.3,No
EMP-2065,2022-06-03,Engineering,Software Engineer,Germany,Remote,78000,4.8,No
EMP-2066,2022-01-13,Marketing,Content Manager,Canada,Remote,145000,4.2,Yes
EMP-2067,2024-09-02,Marketing,Marketing Specialist,Germany,Remote,58000,2.5,No
EMP-2068,2020-03-11,Finance,Accountant,India,On-site,78000,4.8,No
EMP-2069,2021-05-31,Customer Support,Support Lead,United Kingdom,Hybrid,145000,3.3,Yes
EMP-2070,2022-11-24,Sales,SDR,United States,Remote,71000,3.5,No
EMP-2071,2019-08-15,Engineering,Software Engineer,United States,On-site,85000,3.6,No
EMP-2072,2019-07-05,Customer Support,Support Lead,India,Remote,78000,4.2,Yes
EMP-2073,2023-01-31,Sales,Sales Manager,Canada,On-site,125000,2.5,Yes
EMP-2074,2022-06-21,Marketing,Marketing Specialist,United Kingdom,Hybrid,58000,4.9,No
EMP-2075,2024-04-28,Sales,Account Executive,Canada,On-site,95000,3.5,No
EMP-2076,2019-01-21,HR,HR Generalist,United States,Hybrid,78000,3.8,No
EMP-2077,2023-06-02,Engineering,Software Engineer,United States,Hybrid,110000,4.0,No
EMP-2078,2020-09-27,Marketing,Marketing Specialist,Germany,Hybrid,62000,4.0,No
EMP-2079,2020-08-15,Marketing,Content Manager,United States,On-site,71000,3.2,Yes
EMP-2080,2024-08-27,Finance,Accountant,Germany,Remote,145000,2.8,No
EMP-2081,2020-06-29,HR,HR Generalist,Canada,Remote,62000,2.6,No
EMP-2082,2019-03-19,Customer Support,Support Lead,Germany,On-site,145000,2.6,Yes
EMP-2083,2019-10-15,Sales,Sales Manager,Germany,On-site,85000,2.5,Yes
EMP-2084,2024-04-24,Engineering,Engineering Manager,Canada,Remote,145000,2.7,Yes
EMP-2085,2024-02-29,Marketing,Marketing Specialist,India,Hybrid,78000,3.1,No
EMP-2086,2021-03-23,Engineering,Senior Engineer,United States,On-site,85000,4.4,No
EMP-2087,2022-05-31,Sales,Sales Manager,Germany,On-site,85000,4.1,Yes
EMP-2088,2022-01-05,Sales,Account Executive,United States,On-site,125000,2.7,No
EMP-2089,2022-03-15,Sales,SDR,India,Hybrid,125000,3.2,No
EMP-2090,2019-12-18,Customer Support,Support Agent,India,Remote,145000,3.0,No
EMP-2091,2024-01-15,Marketing,Content Manager,Canada,Hybrid,62000,4.5,Yes
EMP-2092,2020-08-03,Sales,Account Executive,Germany,Hybrid,62000,4.0,No
EMP-2093,2020-04-06,Marketing,Marketing Specialist,Canada,Remote,145000,3.2,No
EMP-2094,2019-01-15,Customer Support,Support Lead,India,On-site,110000,2.6,Yes
EMP-2095,2023-09-01,Customer Support,Support Lead,Canada,Hybrid,85000,4.3,Yes
EMP-2096,2022-10-17,Marketing,Marketing Specialist,India,Remote,95000,2.5,No
EMP-2097,2022-04-02,Sales,SDR,Canada,Hybrid,58000,4.8,No
EMP-2098,2019-11-09,Engineering,Senior Engineer,Canada,Hybrid,110000,5.0,No
EMP-2099,2022-03-15,Marketing,Marketing Specialist,United Kingdom,Remote,85000,2.8,No
EMP-2100,2023-03-10,Marketing,Content Manager,India,Remote,145000,3.3,Yes
EMP-2101,2019-11-27,HR,Recruiter,United States,On-site,145000,3.9,No
EMP-2102,2022-03-18,Customer Support,Support Lead,India,Remote,71000,4.1,Yes
EMP-2103,2022-11-08,Finance,Financial Analyst,Canada,Hybrid,71000,3.7,No
EMP-2104,2022-05-17,Marketing,Content Manager,India,On-site,110000,4.1,Yes
EMP-2105,2020-10-24,HR,Recruiter,United States,Remote,62000,2.9,No
EMP-2106,2022-09-25,Finance,Accountant,India,Hybrid,145000,3.1,No
EMP-2107,2020-12-16,Sales,SDR,Canada,On-site,78000,3.1,No
EMP-2108,2021-04-07,Engineering,Senior Engineer,United States,On-site,78000,3.4,No
EMP-2109,2021-05-10,Customer Support,Support Lead,India,Hybrid,110000,4.4,Yes
EMP-2110,2023-01-15,Marketing,Marketing Specialist,United Kingdom,On-site,125000,3.2,No
EMP-2111,2021-10-14,Finance,Financial Analyst,India,Hybrid,62000,3.2,No
EMP-2112,2019-03-31,HR,Recruiter,United Kingdom,Remote,110000,4.9,No
EMP-2113,2023-05-23,Customer Support,Support Lead,Germany,Hybrid,125000,2.5,Yes
EMP-2114,2020-09-14,Customer Support,Support Agent,Germany,On-site,62000,3.1,No
EMP-2115,2019-06-11,Engineering,Engineering Manager,United States,Remote,125000,2.7,Yes
EMP-2116,2022-05-29,Sales,SDR,United Kingdom,On-site,58000,4.1,No
EMP-2117,2022-05-15,Marketing,Content Manager,Germany,On-site,62000,2.7,Yes
EMP-2118,2019-01-05,Sales,Sales Manager,United States,On-site,85000,3.1,Yes
EMP-2119,2021-09-19,Marketing,Content Manager,India,On-site,85000,4.9,Yes
EMP-2120,2023-08-14,Sales,SDR,Canada,Remote,78000,2.6,No
EMP-2121,2023-09-17,Engineering,Software Engineer,United States,Hybrid,125000,4.7,No
EMP-2122,2021-07-17,Sales,SDR,India,Remote,110000,4.8,No
EMP-2123,2023-06-12,HR,Recruiter,United Kingdom,Remote,110000,3.4,No
EMP-2124,2021-03-31,Marketing,Marketing Specialist,Canada,Remote,78000,3.7,No
EMP-2125,2022-04-23,Sales,Sales Manager,United States,On-site,78000,3.2,Yes
EMP-2126,2019-08-20,Customer Support,Support Agent,Germany,Remote,78000,3.7,No
EMP-2127,2020-08-04,Customer Support,Support Agent,India,Remote,78000,2.6,No
EMP-2128,2022-07-10,HR,HR Generalist,United States,Remote,71000,3.5,No
EMP-2129,2024-03-30,Sales,Sales Manager,United States,Hybrid,78000,3.0,Yes
EMP-2130,2023-12-18,HR,Recruiter,United Kingdom,Remote,95000,5.0,No
EMP-2131,2023-09-18,Engineering,Software Engineer,United States,On-site,85000,2.7,No
EMP-2132,2022-06-18,Sales,Sales Manager,India,Remote,95000,4.4,Yes
EMP-2133,2024-01-03,Engineering,Engineering Manager,United Kingdom,Hybrid,125000,3.0,Yes
EMP-2134,2021-10-12,Marketing,Content Manager,India,Remote,58000,4.1,Yes
EMP-2135,2019-09-11,Customer Support,Support Agent,Canada,Remote,125000,2.7,No
EMP-2136,2022-10-04,HR,HR Generalist,Germany,Remote,95000,3.4,No
EMP-2137,2019-09-25,Marketing,Content Manager,United States,Remote,85000,3.2,Yes
EMP-2138,2023-05-03,Engineering,Senior Engineer,Canada,Hybrid,125000,4.9,No
EMP-2139,2022-05-27,Customer Support,Support Agent,United Kingdom,On-site,125000,3.0,No
EMP-2140,2019-11-20,Sales,Sales Manager,Germany,Remote,95000,3.7,Yes
EMP-2141,2019-05-19,Customer Support,Support Agent,India,On-site,78000,3.5,No
EMP-2142,2020-03-06,Finance,Accountant,United States,Hybrid,71000,5.0,No
EMP-2143,2024-08-03,Finance,Financial Analyst,India,Remote,78000,2.7,No
EMP-2144,2021-08-20,Sales,Account Executive,Germany,On-site,110000,3.7,No
EMP-2145,2022-01-01,Engineering,Senior Engineer,Canada,Hybrid,85000,3.2,No
EMP-2146,2021-01-30,HR,Recruiter,United Kingdom,Remote,78000,3.6,No
EMP-2147,2023-06-11,Sales,Sales Manager,Canada,Remote,78000,3.3,Yes
EMP-2148,2019-06-01,Finance,Financial Analyst,United States,Remote,62000,4.1,No
EMP-2149,2019-06-15,Customer Support,Support Agent,Canada,Remote,125000,4.8,No
EMP-2150,2021-03-06,Engineering,Software Engineer,United States,Hybrid,78000,4.0,No
